movimento,n,r,p_value,variavel,ic_inf,ic_sup
extensao_cotovelo,10,-0.4116453971195281,0.2372250083620529,delta_fmax_kg,-0.8269467648700308,0.29425626898213464
extensao_punho,10,0.12982805000974434,0.7207398164997301,delta_fmax_kg,-0.544299832520667,0.7020722194623582
flexao_ombro,10,0.5293569383683179,0.11560007577308624,delta_fmax_kg,-0.15040916252672845,0.8692644100545169
flexao_punho,10,-0.1496355617950893,0.6799034019721459,delta_fmax_kg,-0.7121722598780351,0.5299263438361667
extensao_cotovelo,10,0.1973477439204713,0.5847255478071207,delta_rmse,-0.493622841989496,0.7355811849006807
extensao_punho,10,0.04251162456875603,0.907173701731119,delta_rmse,-0.6032705044966473,0.654623961428474
flexao_ombro,10,-0.799693586404423,0.005487336503683853,delta_rmse,-0.9506578934765382,-0.3425258807550487
flexao_punho,10,0.19539058282321412,0.5885304165862422,delta_rmse,-0.4951609371732039,0.7346455801413377
