"movimento","n","r","p_value","ic_inf","ic_sup"
"extensao_cotovelo",73,-0.0753630764700141,0.526282549136942,-0.300228797772351,0.15743807818037
"extensao_punho",39,0.0995753850512665,0.546430211517119,-0.222951832019988,0.402453450067629
"flexao_ombro",53,-0.623967645021825,5.98113189117761e-07,-0.765208068420458,-0.425419280858652
"flexao_punho",50,-0.65361006359493,2.65901576741765e-07,-0.788506463820377,-0.458713008444415
